race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,02925,02925,DEM,4530.0,9164.0,0.494325621999127
President,02925,02925,REP,4323.0,9164.0,0.471737232649498
President,02925,02925,LIB,196.0,9164.0,0.02138804015713662
President,02925,02925,GRN,65.0,9164.0,0.007092972501091226
President,02925,02925,CST,21.0,9164.0,0.002291575731121781
President,02925,02925,ALI,15.0,9164.0,0.001636839807944129
President,02925,02925,IND,14.0,9164.0,0.0015277171540811873
President,02926,02926,REP,5162.0,9978.0,0.5173381439166166
President,02926,02926,DEM,4510.0,9978.0,0.4519943876528362
President,02926,02926,LIB,205.0,9978.0,0.020545199438765285
President,02926,02926,GRN,55.0,9978.0,0.005512126678693125
President,02926,02926,IND,23.0,9978.0,0.002305071156544398
President,02926,02926,CST,22.0,9978.0,0.00220485067147725
President,02926,02926,ALI,1.0,9978.0,0.00010022048506714773
President,02927,02927,DEM,4791.0,9389.0,0.5102779848759186
President,02927,02927,REP,4267.0,9389.0,0.454467994461604
President,02927,02927,LIB,224.0,9389.0,0.023857705825966555
President,02927,02927,GRN,58.0,9389.0,0.006177441687080626
President,02927,02927,IND,23.0,9389.0,0.002449675151773352
President,02927,02927,CST,20.0,9389.0,0.0021301523058898713
President,02927,02927,ALI,6.0,9389.0,0.0006390456917669613
President,02928,02928,DEM,6225.0,12642.0,0.492406264831514
President,02928,02928,REP,6099.0,12642.0,0.4824394874228761
President,02928,02928,LIB,214.0,12642.0,0.01692770131308337
President,02928,02928,GRN,69.0,12642.0,0.005457997152349312
President,02928,02928,CST,16.0,12642.0,0.0012656225280809998
President,02928,02928,IND,16.0,12642.0,0.0012656225280809998
President,02928,02928,ALI,3.0,12642.0,0.00023730422401518748
President,02929,02929,REP,7450.0,10731.0,0.6942503028608704
President,02929,02929,DEM,2983.0,10731.0,0.27797968502469483
President,02929,02929,LIB,190.0,10731.0,0.017705712421955084
President,02929,02929,GRN,69.0,10731.0,0.006429969247973162
President,02929,02929,CST,26.0,10731.0,0.0024228869630043798
President,02929,02929,IND,10.0,10731.0,0.0009318796011555307
President,02929,02929,ALI,3.0,10731.0,0.0002795638803466592
President,02902,02902,REP,3596.0,6023.0,0.5970446621285074
President,02902,02902,DEM,2073.0,6023.0,0.3441806408766395
President,02902,02902,LIB,284.0,6023.0,0.047152581769882115
President,02902,02902,GRN,29.0,6023.0,0.004814876307487963
President,02902,02902,CST,18.0,6023.0,0.0029885439149925285
President,02902,02902,IND,14.0,6023.0,0.002324423044994189
President,02902,02902,ALI,9.0,6023.0,0.0014942719574962643
President,02930,02930,REP,7181.0,10174.0,0.7058187536858659
President,02930,02930,DEM,2635.0,10174.0,0.25899351287595834
President,02930,02930,LIB,270.0,10174.0,0.026538234715942598
President,02930,02930,GRN,42.0,10174.0,0.0041281698447021824
President,02930,02930,CST,26.0,10174.0,0.002555533713387065
