"Rank","City","County","Average VantageScore 3.0 Credit Score",""
"977","Bristol","Bucks County","644",""
"978","Mahanoy City","Schuylkill County","643",""
"979","Pitcairn","Allegheny County","643",""
"980","Lansdowne","Delaware County","643",""
"981","Folcroft","Delaware County","641",""
"982","White Deer","Union County","640",""
"983","East Pittsburgh","Allegheny County","640",""
"984","Lansford","Carbon County","639",""
"985","Glen Lyon","Luzerne County","637",""
"986","Highspire","Dauphin County","635",""
"987","Sharon","Mercer County","634",""
"988","Philadelphia","Philadelphia County","631",""
"989","Upper Darby","Delaware County","626",""
"990","Farrell","Mercer County","625",""
"991","Tobyhanna","Monroe County","620",""
"992","Wilmerding","Allegheny County","618",""
"993","La Belle","Fayette County","617",""
"994","Crum Lynne","Delaware County","609",""
"995","Duquesne","Allegheny County","606",""
"996","Sharon Hill","Delaware County","602",""
"997","Braddock","Allegheny County","601",""
"998","Darby","Delaware County","573",""
"999","Chester","Delaware County","552",""
